departure_port,arrival_port,Departure Delay,Arrival Delay,Date,real_fare_(AUD)
Mildura,Melbourne,11.23595506,21.34831461,2010-08,
Newcastle,Brisbane,25.0,16.17647059,2010-08,
Newman,Perth,4.255319149,8.510638298,2010-08,
Perth,Broome,18.18181818,15.90909091,2010-08,
Perth,Kalgoorlie,10.41666667,12.5,2010-08,
Perth,Karratha,5.660377358,7.547169811,2010-08,
Perth,Newman,6.382978723,6.382978723,2010-08,505.0
Perth,Port Hedland,5.263157895,1.754385965,2010-08,505.0
Port Hedland,Perth,1.754385965,3.50877193,2010-08,
Port Lincoln,Adelaide,12.64367816,16.09195402,2010-08,
Port Macquarie,Sydney,22.90076336,29.77099237,2010-08,223.0
Rockhampton,Brisbane,21.39037433,17.64705882,2010-08,
Sydney,Albury,33.05785124,42.14876033,2010-08,
Sydney,Canberra,20.29520295,25.46125461,2010-08,
Sydney,Coffs Harbour,22.53521127,22.53521127,2010-08,
Sydney,Dubbo,21.62162162,27.02702703,2010-08,
Sydney,Port Macquarie,22.90076336,28.24427481,2010-08,
Sydney,Wagga Wagga,25.0,37.93103448,2010-08,305.0
Townsville,Cairns,24.85207101,37.27810651,2010-08,
Wagga Wagga,Sydney,25.2173913,32.17391304,2010-08,
Adelaide,Port Lincoln,6.008583691,8.583690987,2010-08,251.0
Albury,Sydney,16.80672269,17.64705882,2010-08,264.0
Ballina,Sydney,25.0,31.57894737,2010-08,237.0
Dubbo,Sydney,21.787709500000002,19.55307263,2010-08,352.0
Melbourne,Mildura,8.602150538,6.451612902999999,2010-08,279.0
Mildura,Melbourne,4.301075269,4.301075269,2010-08,
Port Lincoln,Adelaide,7.2961373389999995,12.44635193,2010-08,
Sydney,Albury,16.10169492,24.57627119,2010-08,
Sydney,Ballina,14.47368421,22.36842105,2010-08,
Sydney,Dubbo,14.83516484,18.68131868,2010-08,
Sydney,Wagga Wagga,5.673758865,19.14893617,2010-08,305.0
Wagga Wagga,Sydney,17.0212766,15.60283688,2010-08,
Broome,Perth,25.92592593,40.74074074,2010-08,657.0
Kalgoorlie,Perth,21.05263158,42.10526316,2010-08,509.0
Karratha,Perth,22.22222222,29.62962963,2010-08,454.0
Perth,Broome,19.23076923,19.23076923,2010-08,
Perth,Kalgoorlie,16.66666667,16.66666667,2010-08,
Perth,Karratha,14.81481481,18.51851852,2010-08,
Adelaide,Brisbane,22.72727273,22.72727273,2010-08,157.0
Adelaide,Gold Coast,18.18181818,13.63636364,2010-08,232.0
Adelaide,Melbourne,19.26605505,20.18348624,2010-08,87.0
Adelaide,Sydney,9.803921569,13.7254902,2010-08,122.0
Alice Springs,Melbourne,46.66666667,33.33333333,2010-08,283.0
Brisbane,Adelaide,18.18181818,31.81818182,2010-08,
Brisbane,Melbourne,26.76056338,30.98591549,2010-08,165.0
Brisbane,Rockhampton,16.12903226,16.12903226,2010-08,84.0
Canberra,Melbourne,35.48387097,38.70967742,2010-08,123.0
Darwin,Melbourne,53.33333333,26.66666667,2010-08,272.0
Gold Coast,Adelaide,27.27272727,27.27272727,2010-08,
Gold Coast,Melbourne,30.76923077,33.33333333,2010-08,
Gold Coast,Sydney,9.375,15.625,2010-08,171.0
Hobart,Melbourne,13.95348837,18.60465116,2010-08,131.0
Launceston,Melbourne,100.0,100.0,2010-08,195.0
Melbourne,Adelaide,27.52293578,28.44036697,2010-08,
Melbourne,Alice Springs,20.0,26.66666667,2010-08,
Melbourne,Brisbane,29.57746479,19.71830986,2010-08,
Melbourne,Canberra,48.38709677,35.48387097,2010-08,
Melbourne,Darwin,32.25806452,51.61290323,2010-08,
Melbourne,Gold Coast,30.76923077,28.20512821,2010-08,182.0
Melbourne,Hobart,23.25581395,16.27906977,2010-08,
Melbourne,Launceston,100.0,100.0,2010-08,
Melbourne,Perth,22.85714286,28.57142857,2010-08,392.0
Melbourne,Sunshine Coast,25.80645161,29.03225806,2010-08,
Melbourne,Sydney,32.59259259,25.92592593,2010-08,108.0
Perth,Melbourne,51.42857143,25.71428571,2010-08,
Rockhampton,Brisbane,16.12903226,19.35483871,2010-08,
Sunshine Coast,Melbourne,32.25806452,41.93548387,2010-08,233.0
Sydney,Adelaide,19.60784314,23.52941176,2010-08,
Sydney,Gold Coast,21.875,21.875,2010-08,
Sydney,Melbourne,37.77777778,44.44444444,2010-08,
Adelaide,Brisbane,15.38461538,8.791208791,2010-08,157.0
Adelaide,Canberra,22.58064516,12.90322581,2010-08,350.0
Adelaide,Gold Coast,3.225806452,3.225806452,2010-08,232.0
Adelaide,Melbourne,12.59259259,14.07407407,2010-08,87.0
Adelaide,Perth,14.75409836,14.75409836,2010-08,406.0
Adelaide,Sydney,22.0,12.66666667,2010-08,122.0
Albury,Sydney,11.47540984,9.836065574,2010-08,264.0
Ballina,Sydney,17.5,17.5,2010-08,237.0
