departure_port,arrival_port,real_fare_(AUD),Date
Adelaide,Port Lincoln,301,2023-11
Adelaide,Sydney,383,2023-11
Albury,Sydney,361,2023-11
Armidale,Sydney,436,2023-11
Avalon,Gold Coast,688,2023-11
Avalon,Sydney,159,2023-11
Ayers Rock,Sydney,410,2023-11
Ballina,Sydney,129,2023-11
Brisbane,Cairns,262,2023-11
Brisbane,Canberra,456,2023-11
Brisbane,Darwin,912,2023-11
Brisbane,Emerald,546,2023-11
Brisbane,Gladstone,387,2023-11
Brisbane,Hamilton Island,496,2023-11
Brisbane,Hobart,402,2023-11
Brisbane,Mackay,239,2023-11
Brisbane,Melbourne,294,2023-11
Brisbane,Mount Isa,794,2023-11
Brisbane,Perth,770,2023-11
Brisbane,Proserpine,331,2023-11
Brisbane,Rockhampton,402,2023-11
Brisbane,Sydney,227,2023-11
Brisbane,Townsville,309,2023-11
Brisbane,Newcastle,181,2023-11
Broome,Perth,559,2023-11
Bundaberg,Brisbane,429,2023-11
Cairns,Gold Coast,666,2023-11
Cairns,Melbourne,478,2023-11
Cairns,Sydney,364,2023-11
Cairns,Townsville,321,2023-11
Canberra,Melbourne,267,2023-11
Canberra,Sydney,442,2023-11
Coffs Harbour,Sydney,341,2023-11
Darwin,Melbourne,751,2023-11
Darwin,Perth,760,2023-11
Darwin,Sydney,1069,2023-11
Dubbo,Sydney,361,2023-11
Gold Coast,Sydney,186,2023-11
Hamilton Island,Sydney,359,2023-11
Hobart,Melbourne,300,2023-11
Hobart,Sydney,257,2023-11
Kalgoorlie,Perth,575,2023-11
Karratha,Perth,921,2023-11
Launceston,Melbourne,301,2023-11
Launceston,Sydney,181,2023-11
Sunshine Coast,Melbourne,257,2023-11
Sunshine Coast,Sydney,154,2023-11
Melbourne,Gold Coast,196,2023-11
Melbourne,Mildura,301,2023-11
Melbourne,Perth,656,2023-11
Melbourne,Sydney,167,2023-11
Melbourne,Townsville,246,2023-11
Melbourne,Newcastle,143,2023-11
Paraburdoo,Perth,866,2023-11
Perth,Newman,884,2023-11
Perth,Port Hedland,865,2023-11
Perth,Sydney,739,2023-11
Port Macquarie,Sydney,341,2023-11
Sydney,Tamworth,379,2023-11
Sydney,Townsville,368,2023-11
Sydney,Wagga Wagga,361,2023-11
Newcastle,Gold Coast,189,2023-11
Adelaide,Alice Springs,615,2023-05
Adelaide,Brisbane,405,2023-05
Adelaide,Canberra,386,2023-05
Adelaide,Darwin,542,2023-05
Adelaide,Gold Coast,364,2023-05
Adelaide,Melbourne,146,2023-05
Adelaide,Perth,548,2023-05
Adelaide,Port Lincoln,354,2023-05
Adelaide,Sydney,255,2023-05
Albury,Sydney,401,2023-05
Armidale,Sydney,375,2023-05
Avalon,Gold Coast,195,2023-05
Avalon,Sydney,167,2023-05
Ayers Rock,Sydney,700,2023-05
Ballina,Sydney,97,2023-05
Brisbane,Cairns,195,2023-05
Brisbane,Canberra,310,2023-05
Brisbane,Darwin,633,2023-05
Brisbane,Emerald,521,2023-05
Brisbane,Gladstone,391,2023-05
Brisbane,Hamilton Island,324,2023-05
Brisbane,Hobart,263,2023-05
Brisbane,Mackay,233,2023-05
Brisbane,Melbourne,222,2023-05
Brisbane,Mount Isa,823,2023-05
Brisbane,Perth,538,2023-05
Brisbane,Proserpine,213,2023-05
Brisbane,Rockhampton,191,2023-05
Brisbane,Sydney,153,2023-05
Brisbane,Townsville,249,2023-05
Brisbane,Newcastle,153,2023-05
Broome,Perth,493,2023-05
Bundaberg,Brisbane,410,2023-05
Cairns,Gold Coast,369,2023-05
Cairns,Melbourne,500,2023-05
Cairns,Sydney,371,2023-05
Cairns,Townsville,354,2023-05
Canberra,Melbourne,173,2023-05
Canberra,Sydney,426,2023-05
Coffs Harbour,Sydney,354,2023-05
Darwin,Melbourne,738,2023-05
Darwin,Perth,1150,2023-05
Darwin,Sydney,655,2023-05
Devonport,Melbourne,459,2023-05
Dubbo,Sydney,415,2023-05
Gold Coast,Sydney,161,2023-05
Hamilton Island,Sydney,344,2023-05
Hobart,Melbourne,281,2023-05
Hobart,Sydney,344,2023-05
Kalgoorlie,Perth,568,2023-05
Karratha,Perth,939,2023-05
Launceston,Melbourne,157,2023-05
Launceston,Sydney,232,2023-05
Sunshine Coast,Melbourne,283,2023-05
Sunshine Coast,Sydney,192,2023-05
Melbourne,Gold Coast,222,2023-05
Melbourne,Mildura,375,2023-05
Melbourne,Perth,508,2023-05
Melbourne,Sydney,181,2023-05
Melbourne,Townsville,340,2023-05
Melbourne,Newcastle,232,2023-05
Paraburdoo,Perth,835,2023-05
Perth,Newman,764,2023-05
Perth,Port Hedland,727,2023-05
Perth,Sydney,428,2023-05
Port Macquarie,Sydney,324,2023-05
Sydney,Tamworth,390,2023-05
Sydney,Townsville,240,2023-05
Sydney,Wagga Wagga,405,2023-05
Newcastle,Gold Coast,216,2023-05
Adelaide,Alice Springs,686,2023-03
Adelaide,Brisbane,495,2023-03
Adelaide,Canberra,521,2023-03
Adelaide,Darwin,349,2023-03
Adelaide,Gold Coast,419,2023-03
Adelaide,Melbourne,338,2023-03
Adelaide,Perth,911,2023-03
Adelaide,Port Lincoln,397,2023-03
Adelaide,Sydney,341,2023-03
Albury,Sydney,394,2023-03
Armidale,Sydney,368,2023-03
Avalon,Gold Coast,340,2023-03
Avalon,Sydney,139,2023-03
Ayers Rock,Sydney,611,2023-03
Ballina,Sydney,137,2023-03
Brisbane,Cairns,380,2023-03
Brisbane,Canberra,470,2023-03
Brisbane,Darwin,509,2023-03
Brisbane,Emerald,477,2023-03
Brisbane,Gladstone,404,2023-03
Brisbane,Hamilton Island,599,2023-03
Brisbane,Hobart,535,2023-03
Brisbane,Mackay,209,2023-03
Brisbane,Melbourne,410,2023-03
Brisbane,Mount Isa,860,2023-03
Brisbane,Perth,963,2023-03
Brisbane,Proserpine,293,2023-03
Brisbane,Rockhampton,367,2023-03
Brisbane,Sydney,172,2023-03
Brisbane,Townsville,321,2023-03
Brisbane,Newcastle,154,2023-03
Broome,Perth,482,2023-03
Bundaberg,Brisbane,414,2023-03
Cairns,Gold Coast,460,2023-03
Cairns,Melbourne,405,2023-03
Cairns,Sydney,335,2023-03
Cairns,Townsville,347,2023-03
Canberra,Melbourne,222,2023-03
Canberra,Sydney,477,2023-03
Coffs Harbour,Sydney,347,2023-03
Darwin,Melbourne,630,2023-03
Darwin,Perth,794,2023-03
Darwin,Sydney,461,2023-03
Devonport,Melbourne,420,2023-03
Dubbo,Sydney,409,2023-03
Gold Coast,Sydney,151,2023-03
Hamilton Island,Sydney,337,2023-03
Hobart,Melbourne,284,2023-03
Hobart,Sydney,209,2023-03
Kalgoorlie,Perth,573,2023-03
Karratha,Perth,946,2023-03
Launceston,Melbourne,209,2023-03
Launceston,Sydney,235,2023-03
Sunshine Coast,Melbourne,326,2023-03
Sunshine Coast,Sydney,189,2023-03
Melbourne,Gold Coast,214,2023-03
Melbourne,Mildura,367,2023-03
Melbourne,Perth,618,2023-03
Melbourne,Sydney,198,2023-03
Melbourne,Townsville,283,2023-03
Melbourne,Newcastle,203,2023-03
Paraburdoo,Perth,842,2023-03
Perth,Newman,770,2023-03
Perth,Port Hedland,708,2023-03
Perth,Sydney,665,2023-03
Port Macquarie,Sydney,316,2023-03
Sydney,Tamworth,364,2023-03
Sydney,Townsville,284,2023-03
Sydney,Wagga Wagga,398,2023-03
Newcastle,Gold Coast,167,2023-03
Adelaide,Alice Springs,588,2023-06
Adelaide,Brisbane,405,2023-06
Adelaide,Canberra,513,2023-06
Adelaide,Darwin,699,2023-06
Adelaide,Gold Coast,494,2023-06
Adelaide,Melbourne,244,2023-06
Adelaide,Perth,517,2023-06
Adelaide,Port Lincoln,354,2023-06
Adelaide,Sydney,242,2023-06
Albury,Sydney,385,2023-06
Armidale,Sydney,364,2023-06
Avalon,Gold Coast,420,2023-06
Avalon,Sydney,165,2023-06
Ayers Rock,Sydney,843,2023-06
Ballina,Sydney,97,2023-06
Brisbane,Cairns,353,2023-06
Brisbane,Canberra,404,2023-06
Brisbane,Darwin,769,2023-06
Brisbane,Emerald,574,2023-06
Brisbane,Gladstone,387,2023-06
Brisbane,Hamilton Island,431,2023-06
Brisbane,Hobart,344,2023-06
Brisbane,Mackay,205,2023-06
Brisbane,Melbourne,288,2023-06
Brisbane,Mount Isa,940,2023-06
Brisbane,Perth,740,2023-06
Brisbane,Proserpine,259,2023-06
Brisbane,Rockhampton,409,2023-06
Brisbane,Sydney,181,2023-06
Brisbane,Townsville,385,2023-06
Brisbane,Newcastle,128,2023-06
Broome,Perth,609,2023-06
Bundaberg,Brisbane,415,2023-06
Cairns,Gold Coast,385,2023-06
Cairns,Melbourne,470,2023-06
Cairns,Sydney,359,2023-06
Cairns,Townsville,354,2023-06
Canberra,Melbourne,180,2023-06
Canberra,Sydney,426,2023-06
Coffs Harbour,Sydney,340,2023-06
Darwin,Melbourne,718,2023-06
Darwin,Perth,942,2023-06
Darwin,Sydney,623,2023-06
Devonport,Melbourne,452,2023-06
Dubbo,Sydney,405,2023-06
Gold Coast,Sydney,120,2023-06
Hamilton Island,Sydney,234,2023-06
Hobart,Melbourne,190,2023-06
Hobart,Sydney,208,2023-06
Kalgoorlie,Perth,568,2023-06
Karratha,Perth,948,2023-06
Launceston,Melbourne,130,2023-06
Launceston,Sydney,151,2023-06
Sunshine Coast,Melbourne,293,2023-06
Sunshine Coast,Sydney,151,2023-06
Melbourne,Gold Coast,339,2023-06
Melbourne,Mildura,364,2023-06
Melbourne,Perth,548,2023-06
Melbourne,Sydney,163,2023-06
Melbourne,Townsville,749,2023-06
Melbourne,Newcastle,180,2023-06
Paraburdoo,Perth,843,2023-06
Perth,Newman,856,2023-06
Perth,Port Hedland,711,2023-06
Perth,Sydney,609,2023-06
Port Macquarie,Sydney,324,2023-06
Sydney,Tamworth,364,2023-06
Sydney,Townsville,440,2023-06
Sydney,Wagga Wagga,405,2023-06
Newcastle,Gold Coast,245,2023-06
Adelaide,Alice Springs,611,2023-07
Adelaide,Brisbane,380,2023-07
Adelaide,Canberra,609,2023-07
Adelaide,Darwin,868,2023-07
Adelaide,Gold Coast,419,2023-07
Adelaide,Melbourne,215,2023-07
Adelaide,Perth,405,2023-07
Adelaide,Port Lincoln,350,2023-07
Adelaide,Sydney,219,2023-07
Albury,Sydney,380,2023-07
Armidale,Sydney,360,2023-07
Avalon,Gold Coast,214,2023-07
Avalon,Sydney,114,2023-07
Ayers Rock,Sydney,503,2023-07
Ballina,Sydney,65,2023-07
Brisbane,Cairns,239,2023-07
Brisbane,Canberra,352,2023-07
Brisbane,Darwin,835,2023-07
Brisbane,Emerald,628,2023-07
Brisbane,Gladstone,382,2023-07
Brisbane,Hamilton Island,364,2023-07
Brisbane,Hobart,414,2023-07
Brisbane,Mackay,172,2023-07
Brisbane,Melbourne,219,2023-07
Brisbane,Mount Isa,859,2023-07
Brisbane,Perth,630,2023-07
Brisbane,Proserpine,286,2023-07
Brisbane,Rockhampton,439,2023-07
Brisbane,Sydney,151,2023-07
Brisbane,Townsville,484,2023-07
Brisbane,Newcastle,167,2023-07
Broome,Perth,441,2023-07
Bundaberg,Brisbane,410,2023-07
Cairns,Gold Coast,431,2023-07
Cairns,Melbourne,494,2023-07
Cairns,Sydney,405,2023-07
Cairns,Townsville,350,2023-07
Canberra,Melbourne,167,2023-07
Canberra,Sydney,422,2023-07
Coffs Harbour,Sydney,336,2023-07
Darwin,Melbourne,695,2023-07
Darwin,Perth,1277,2023-07
Darwin,Sydney,606,2023-07
Devonport,Melbourne,433,2023-07
Dubbo,Sydney,400,2023-07
Gold Coast,Sydney,124,2023-07
Hamilton Island,Sydney,251,2023-07
Hobart,Melbourne,155,2023-07
Hobart,Sydney,181,2023-07
Kalgoorlie,Perth,561,2023-07
Karratha,Perth,883,2023-07
Launceston,Melbourne,129,2023-07
Launceston,Sydney,159,2023-07
Sunshine Coast,Melbourne,272,2023-07
Sunshine Coast,Sydney,143,2023-07
Melbourne,Gold Coast,179,2023-07
Melbourne,Mildura,360,2023-07
Melbourne,Perth,487,2023-07
Melbourne,Sydney,149,2023-07
Melbourne,Townsville,426,2023-07
Melbourne,Newcastle,184,2023-07
Paraburdoo,Perth,833,2023-07
Perth,Newman,846,2023-07
Perth,Port Hedland,702,2023-07
Perth,Sydney,480,2023-07
Port Macquarie,Sydney,320,2023-07
Sydney,Tamworth,389,2023-07
Sydney,Townsville,310,2023-07
Sydney,Wagga Wagga,400,2023-07
Newcastle,Gold Coast,181,2023-07
Adelaide,Alice Springs,667,2023-01
Adelaide,Brisbane,408,2023-01
Adelaide,Canberra,573,2023-01
Adelaide,Darwin,336,2023-01
Adelaide,Gold Coast,570,2023-01
Adelaide,Melbourne,193,2023-01
Adelaide,Perth,495,2023-01
Adelaide,Port Lincoln,357,2023-01
Adelaide,Sydney,323,2023-01
Albury,Sydney,394,2023-01
Armidale,Sydney,368,2023-01
Avalon,Gold Coast,233,2023-01
Avalon,Sydney,144,2023-01
Ayers Rock,Sydney,544,2023-01
Ballina,Sydney,104,2023-01
Brisbane,Cairns,201,2023-01
Brisbane,Canberra,359,2023-01
Brisbane,Darwin,407,2023-01
Brisbane,Emerald,526,2023-01
Brisbane,Gladstone,425,2023-01
Brisbane,Hamilton Island,476,2023-01
