Departing_Port,Arriving_Port,Month,Year,Average_Fare,Distance
Adelaide,Brisbane,11,2013,387.0,1619.982413941602
Adelaide,Canberra,11,2013,439.0,970.2290464494174
Adelaide,Gold Coast,11,2013,361.0,1604.1628403102109
Adelaide,Melbourne,11,2013,156.0,641.6529269409299
Adelaide,Perth,11,2013,439.0,2115.440208283999
Adelaide,Port Lincoln,11,2013,297.0,245.00141173119508
Adelaide,Sydney,11,2013,257.0,1164.1801497410133
Adelaide,Brisbane,12,2013,569.0,1619.982413941602
Adelaide,Canberra,12,2013,658.0,970.2290464494174
Adelaide,Gold Coast,12,2013,595.0,1604.1628403102109
Adelaide,Melbourne,12,2013,244.0,641.6529269409299
Adelaide,Perth,12,2013,556.0,2115.440208283999
Adelaide,Port Lincoln,12,2013,343.0,245.00141173119508
Adelaide,Sydney,12,2013,375.0,1164.1801497410133
Adelaide,Brisbane,1,2014,282.0,1619.982413941602
Adelaide,Canberra,1,2014,522.0,970.2290464494174
Adelaide,Gold Coast,1,2014,346.0,1604.1628403102109
Adelaide,Melbourne,1,2014,90.0,641.6529269409299
Adelaide,Perth,1,2014,462.0,2115.440208283999
Adelaide,Port Lincoln,1,2014,298.0,245.00141173119508
Adelaide,Sydney,1,2014,204.0,1164.1801497410133
Adelaide,Brisbane,2,2014,297.0,1619.982413941602
Adelaide,Canberra,2,2014,522.0,970.2290464494174
Adelaide,Gold Coast,2,2014,359.0,1604.1628403102109
Adelaide,Melbourne,2,2014,111.0,641.6529269409299
Adelaide,Perth,2,2014,488.0,2115.440208283999
Adelaide,Port Lincoln,2,2014,298.0,245.00141173119508
Adelaide,Sydney,2,2014,204.0,1164.1801497410133
Adelaide,Brisbane,3,2014,400.0,1619.982413941602
Adelaide,Canberra,3,2014,540.0,970.2290464494174
Adelaide,Gold Coast,3,2014,346.0,1604.1628403102109
Adelaide,Melbourne,3,2014,137.0,641.6529269409299
Adelaide,Perth,3,2014,599.0,2115.440208283999
Adelaide,Port Lincoln,3,2014,302.0,245.00141173119508
Adelaide,Sydney,3,2014,217.0,1164.1801497410133
Adelaide,Brisbane,4,2014,386.0,1619.982413941602
Adelaide,Canberra,4,2014,486.0,970.2290464494174
Adelaide,Gold Coast,4,2014,332.0,1604.1628403102109
Adelaide,Melbourne,4,2014,173.0,641.6529269409299
Adelaide,Perth,4,2014,450.0,2115.440208283999
Adelaide,Port Lincoln,4,2014,297.0,245.00141173119508
Adelaide,Sydney,4,2014,255.0,1164.1801497410133
Adelaide,Brisbane,5,2014,280.0,1619.982413941602
Adelaide,Canberra,5,2014,424.0,970.2290464494174
Adelaide,Gold Coast,5,2014,280.0,1604.1628403102109
Adelaide,Melbourne,5,2014,113.0,641.6529269409299
Adelaide,Perth,5,2014,357.0,2115.440208283999
Adelaide,Port Lincoln,5,2014,297.0,245.00141173119508
Adelaide,Sydney,5,2014,177.0,1164.1801497410133
Adelaide,Brisbane,6,2014,355.0,1619.982413941602
Adelaide,Canberra,6,2014,486.0,970.2290464494174
Adelaide,Gold Coast,6,2014,326.0,1604.1628403102109
Adelaide,Melbourne,6,2014,122.0,641.6529269409299
Adelaide,Perth,6,2014,437.0,2115.440208283999
Adelaide,Port Lincoln,6,2014,297.0,245.00141173119508
Adelaide,Sydney,6,2014,203.0,1164.1801497410133
Adelaide,Brisbane,7,2014,228.0,1619.982413941602
Adelaide,Canberra,7,2014,407.0,970.2290464494174
Adelaide,Gold Coast,7,2014,389.0,1604.1628403102109
Adelaide,Melbourne,7,2014,125.0,641.6529269409299
Adelaide,Perth,7,2014,461.0,2115.440208283999
Adelaide,Port Lincoln,7,2014,295.0,245.00141173119508
Adelaide,Sydney,7,2014,166.0,1164.1801497410133
Adelaide,Brisbane,8,2014,228.0,1619.982413941602
Adelaide,Canberra,8,2014,343.0,970.2290464494174
